time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-05 00:00:00+00:00,0,0,2,2
2024-10-07 00:00:00+00:00,0,0,5,3
2024-10-08 00:00:00+00:00,0,0,1,1
2024-10-09 00:00:00+00:00,0,0,6,3
2024-10-10 00:00:00+00:00,0,0,6,2
2024-10-11 00:00:00+00:00,0,0,2,2
2024-10-12 00:00:00+00:00,0,0,1,1
2024-10-13 00:00:00+00:00,0,0,5,1
2024-10-14 00:00:00+00:00,0,0,15,3
2024-10-15 00:00:00+00:00,0,0,9,4
2024-10-16 00:00:00+00:00,0,0,3,3
2024-10-17 00:00:00+00:00,0,0,5,2
2024-10-18 00:00:00+00:00,2,2,23,2
2024-10-19 00:00:00+00:00,0,0,8,1
2024-10-20 00:00:00+00:00,0,0,7,2
2024-10-21 00:00:00+00:00,1,1,8,2
2024-10-22 00:00:00+00:00,0,0,6,5
2024-10-23 00:00:00+00:00,0,0,8,3
